title,year
Hum Rahe Na Hum,1984
Sheeshay Ka Ghar,1984
Unchi Uraan,1984
Mujhe Shakti Do,1984
Mera Faisla,1984
Rakta Bandhan,1984
The Gold Medal,1984
Dhokebaaz,1984
Meraa Dost Meraa Dushman,1984
Aurat Ka Inteqam,1984
Kahan Tak Aasmaan Hai,1984
Hanste Khelte,1984
Captain Barry,1984
Yahan Wahan,1984
Nadaniyan,1984
Ek Naya Itihas,1984
Pavitra Ganga,1984
Zakhmi Sher,1984
Maan Maryada,1984
Zindagi Jeene Ke Liye,1984
Kasam Durga Ki,1984
Andhi Gali,1984
Bandh Honth,1984
Dilavar,1984
Chakma,1984
Waqt Se Pehle,1984
Taru,1984
Preet Na Jane Reet,1984
Mohabbat Ki Aag,1984
Inquilab Ke Baad,1984
Kue Yaar Mein,1984
Yeh Kahani Nahi,1984
Murde Ki Jaan Khatre Mein,1985
Aaj Ka Daur,1985
Pyaase Honth,1985
Kab Tak Pukaroon,1985
Kuk Doo Koo,1985
Dhoomketu,1985
Ganga Ke Paar,1985
Jab Pyar Hua,1985
Paththar,1985
Piya Milan,1985
Karmyudh,1985
Patal Jwaala,1985
Naya Savera,1985
Agnidaah,1985
Lut Gayee Pyar Mein,1985
Uske Baad,1985
Ranjish,1985
Yeh Kaisa Farz,1985
Vivek,1985
Ghazal,1985
Toofan Rani,1985
Bhulaye Na Bane,1985
Zahr E Ishq,1985
Daamad Chaahiye,1985
Atma Vishwas,1985
Kaal Bhairav,1985
Fauladi Takkar,1985
Sej Piya Ki,1985
Koi Hai?,1985
Prem Yudh,1985
Main Chup Nahi Rahungi,1985
Sherdil Ladkiyan,1985
Prem Jyoti,1985
Sapnon Ke Chhahon Mein,1985
Paanch Khiladi,1985
I Love You,1985
Shree Ram Bhakta Hanumaan,1985
Preetam More Ganga Teere,1985
Pyaar Bina Jag Soona,1985
Begum Sahiban,1985
Sandli,1985
Insan aur Insaan,1985
Dil Ek Musafir,1985
Hey Johney,1985
Anita Mera Naam,1985
Bandhan Pheron Ke,1985
Narsi Bhagat,1985
Hoshiyar,1985
Pyar Jhukta Nahin,1985
Lava,1985
Phaansi Ke Baad,1985
Saaheb,1985
Amber,1985
Ek Kali Jo Khil Na Paai,1985
Rakhail No 1,1985
Mera Jawab,1985
Do Dilon Ki Dastaan,1985
Ram Tere Kitne Nam,1985
Zamana,1985
Kabhi Ajnabi Thé,1985
Meetha Zehar,1985
Pighalta Aasman,1985
Sarfarosh,1985
Bahu Ki Awaaz,1985
Tawaif,1985
Aitbaar,1985
Aandhi-Toofan,1985
Hum Dono,1985
The Mind of Clay,1985
Rahi Badal Gaye,1985
Jawaab,1985
Arjun,1985
Ramkali,1985
Ulta Seedha,1985
Mahaguru,1985
Balidaan,1985
Yudh,1985
Pataal Bhairavi,1985
Kunwari Chudail,1985
Yadon Ki Kasam,1985
Ek Se Bhale Do,1985
Ameer Aadmi Ghareeb Aadmi,1985
Nasoor,1985
Aurat Pair Ki Juti Nahin Hai,1985
Masterji,1985
Misaal,1985
Paroma,1985
Mohabbat,1985
Zindagi Aur Maut,1985
Zabardast,1985
Sitamgar,1985
Bhago Bhoot Aayaa,1985
Ghulami,1985
Mehak,1985
Bewafai,1985
Pyari Behna,1985
Ram Teri Ganga Maili,1985
Surkhiyaan (The Headlines),1985
Jeene Nahin Doongi,1985
Maha Shaktimaan,1985
Maut Ka Badla Maut,1985
Baadal,1985
Saagar,1985
Rusvai,1985
Meri Jung,1985
Ghar Dwaar,1985
Telephone,1985
Durgaa,1985
Meraa Ghar Mere Bachche,1985
Rahemdil Jallad,1985
Aghaat,1985
Ek Daku Saher Mein,1985
"Trikal (Past, Present, Future)",1985
Aakhir Kyon?,1985
Wafadaar,1985
Bepanaah,1985
Sur Sangam,1985
Geraftaar,1985
Lallu Ram,1985
Jhoothi,1985
Faasle,1985
Alag Alag,1985
Chaar Maharathi,1985
Teri Meherbaniyan,1985
Babu,1985
Tum Par Hum Qurban,1985
Jaan Ki Baazi,1985
Jaanoo,1985
Damul,1985
Mard,1985
Oonche Log,1985
Anokha Modh,1985
Border Kashmir,1985
Hum Naujawan,1985
Gautam Govinda,1985
Sanjog,1985
Bhavani Junction,1985
Insaaf Main Karoonga,1985
Maa Kasam,1985
Adventures of Tarzan,1985
Lover Boy,1985
Dekha Pyar Tumhara,1985
Awara Baap,1985
Ankahee,1985
Patthar Dil,1985
Shiva Ka Insaaf,1985
Anantyatra,1985
Karishma Kudrat Kaa,1985
Haveli,1985
Pyaari Bhabhi,1985
Kala Suraj,1985
Kali Basti,1985
Zulm Ka Badla,1985
Jaago,1985
Sanjhi,1985
Triveni,1985
Yaar Kasam,1985
Mera Saathi,1985
Sautela Pati,1985
"Hamara Shahar - Bombay, Our City",1985
Saamri,1985
Phir Aayee Barsat,1985
Paapi Sansar,1985
Haqeeqat,1985
Bond 303,1985
Sajan Tara Sambharna,1985
Paisa Yeh Paisa,1985
Main Khilona Nahin,1985
Bhagwan Shri Krishna,1985
Ek Chitthi Pyar Bhari,1985
Sheeshon Ka Masiha,1985
Bandhan Anjana,1985
Ganga Teri Shakti Apaar,1985
Mujhe Kasam Hai,1985
Gokul,1985
Uttarayan,1985
Teri Pooja Kare Sansaar,1985
Ba Ki Yaad Mein,1985
Mahasati Tulsi,1985
Bistar,1986
Devar Bhabhi,1986
Izzat Aabroo,1986
Jawani Ki Kahani,1986
Khazane Ke Lootere,1986
Fitarat,1986
Nashilee Jawani,1986
Naasamajh,1986
Gulaabo,1986
Anaar,1986
Khushi,1986
Badkaar,1986
Pyaasi Mamta,1986
Vidhaan,1986
Zinda Laash,1986
Badle Ki Jwala,1986
Bud Naseeb,1986
Anadi Khiladi,1986
Antaheen,1986
Aadhi Zindagi Aadhi Maut,1986
Pyar Ki Pahli Nazar,1986
Khooni Jawaani,1986
Teri Aarzoo,1986
Khooni Meena,1986
Gunehgaar,1986
Ganga Kinare,1986
Rimjhim Geeton Ki,1986
Paise Ke Peechhey,1986
Hasrat,1986
Daaku Rani,1986
Anokhi Dulhan,1986
Majboori,1986
Ek Misaal,1986
Pyar Ki Rimjhim,1986
Bedaag,1986
Itni Jaldi Kya Hai,1986
Jeet Aur Jeewan,1986
Ganga Akhir Ganga Hain,1986
Geet Mere Pyar Ka,1986
Koi Na Jane Re,1986
Pachhtava,1986
Zeenat,1986
Naya Naya Pyar,1986
Devi Maha Devi,1986
Maati Balidan Ki,1986
Mujrim Ki Talaash,1986
Parichaya,1986
Jai Betaal,1986
Zulm Aur Inteqaam,1986
Qatl,1986
Kaanch Ki Deewar,1986
Sutradhar,1986
Sasti Dulhan Mahenga Dulha,1986
Khoon Ka Badla Phansi,1986
Dilwaala,1986
Jaal,1986
Love 86,1986
Swarag Se Sunder,1986
Chameli Ki Shaadi,1986
Shart,1986
Ilzaam,1986
What Happened to This City?,1986
Singhasan,1986
Aap Ke Saath,1986
Amma,1986
Raat Ke Baad,1986
Saveray Wali Gaadi,1986
Preeti,1986
Maqaar,1986
Khamosh,1986
Ang Se Ang Laga Lay,1986
Dharm Adhikari,1986
Pahunchey Huwe Log,1986
Bhagwaan Dada,1986
Tan-Badan,1986
Swati,1986
Maanav Hatya,1986
Genesis,1986
Andheri Raat Mein Diya Tere Haath Mein,1986
Kala Dhanda Goray Log,1986
Kirayadar,1986
Karamdaata,1986
Mirch Masala,1986
Aakhree Raasta,1986
Qatil Haseeno Ka,1986
Maa Beti,1986
Janbaaz,1986
Peechha Karro,1986
Muddat,1986
Amrit,1986
Zindagani,1986
Pyar Kiya Hai Pyar Karenge,1986
Bhoot Ke Peeche Bhoot,1986
Ankush,1986
Nasihat,1986
Allah Rakha,1986
Karma,1986
Teesra Kinara,1986
Chambal Ka Badshah,1986
Pyar Ke Do Pal,1986
Shatru,1986
Sadaa Suhagan,1986
Daku Bijlee,1986
Ek Chadar Maili Si,1986
Anokha Rishta,1986
Naam,1986
Samundar,1986
Mazloom,1986
Duty,1986
Sheesha,1986
Jungle Ki Nagin,1986
Dahleez,1986
Mera Haque,1986
Asli Naqli,1986
Aaj Ka Andha Kanoon,1986
Dosti Dushmani,1986
Jumbish: A Movement - The Movie,1986
Ek Aur Sikander,1986
Aisa Pyar Kahan,1986
Rao Saheb,1986
Nagina,1986
Sahara,1986
Naache Mayuri,1986
Khel Mohabbat Ka,1986
Tahkhana,1986
Avinash,1986
Chaalbaaz,1986
Anubhav,1986
Samay Ki Dhaara,1986
Massey Sahib,1986
Baat Ban Jaye,1986
New Delhi Times,1986
Naseeb Apna Apna,1986
Aag Aur Shola,1986
Babul,1986
Patton Ki Bazi,1986
Jeeva,1986
Insaaf Ki Awaaz,1986
Jhanjaar,1986
Ek Main Aur Ek Tu,1986
Aadamkhor,1986
Main Balwaan,1986
Haathon Ki Lakeeren,1986
Aurat,1986
Trikon Ka Chautha Kon,1986
Angaaray,1986
Car Thief,1986
Ek Pal,1986
Inteqam Ki Aag,1986
Ghar Sansar,1986
Mera Dharam,1986
Mangal Dada,1986
Bhai Ka Dushman Bhai,1986
Panchavati,1986
Adhikar,1986
Suhagan,1986
Chhota Aadmi,1986
Anjuman,1986
Vikram Vetal,1986
Ricky,1986
Mere Saath Chal,1986
Palay Khan,1986
Qatil Aur Aashiq,1986
Musafir,1986
Sajna Saath Nibhana,1986
Kismetwala,1986
Krishna-Krishna,1986
Jwala,1986
Aashiana,1986
Om,1986
Maa Ki Saugandh,1986
Pyar Ho Gaya,1986
Mohabbat Ki Kasam,1986
Waapsi,1986
Maut Ke Saudagar,1986
Kahan Kahan Se Guzar,1986
Andaz Pyaar Ka,1986
Durgaa Maa,1986
Yeh Preet Na Hogi Kam,1986
Anokha Insaan,1986
Uddhar,1986
Veer Bhimsen,1986
Albela,1986
Ziddi Mera Naam,1986
Anaadi Anant,1986
Parampara,1986
Swarthi,1986
Dancing City,1986
Ram Milai Jodi,1986
Nain Mile Chain Kahan,1986
Classic Dance Forms of India: Koodiattam,1986
Raat Ke Andhere Mein,1987
Kachchi Jawani,1987
Mahananda,1987
Jawani Ki Pyas,1987
Dilruba Tangewali,1987
Dharti Ki Kasam,1987
Jawani Ke Jalwe,1987
Main Aur Tum,1987
Badla Nagin Ka,1987
Ghar Ka Sukh,1987
Woh Din Aayega,1987
Rhino,1987
Jawan Mard,1987
Maa Baap,1987
Su-Raaj,1987
Suhaag Ka Balidaan,1987
Yaatna,1987
Naag Mani,1987
Mr. X,1987
Khooni Darinda,1987
Ek Aur Khoon,1987
Tarzan and Cobra,1987
Pati Paisa Aur Pyar,1987
Daku Raja,1987
Ek Aasmaan Kai Dishaain,1987
Kanoon Kanoon Hai,1987
Nagin Aur Nagina,1987
Toofan Hi Toofan,1987
Nirmaan,1987
Mardon Mein Mard,1987
Sab Se Badi Adalat,1987
Main Hoon Aflatoon,1987
Duniya Paagal Hai,1987
Veer Eklavya,1987
Bargad Dada,1987
Khooni Maut,1987
Raaj Dulara,1987
Tu Meri Main Tera,1987
Shiva Ka Insaaf,1987
Cheti Ka Poster,1987
Naagphani (Cactus),1987
Uprant,1987
Daku Rani Talwarwali,1987
Amshini,1987
Daku Chandi Rani,1987
Maharog,1987
Ek Musafir,1987
Kal Nahin Aaj,1987
Apne Apne Sanskar,1987
Insaniyat Ke Dushman,1987
Kauthig,1987
Loha,1987
Jalwa,1987
Nazrana,1987
Dadagiri,1987
Debshishu,1987
Anjaam,1987
Pyar Ke Kabil,1987
Pyaar Karke Dekho,1987
Maashuka,1987
Mera Lahoo,1987
Besahara,1987
Pratighaat,1987
Hukumat,1987
Itihaas,1987
Wahem,1987
Sansar,1987
Imaandaar,1987
Aag Hi Aag,1987
Tera Karam Mera Dharam,1987
Dacait,1987
Majaal,1987
Madadgaar,1987
Sitapur Ki Geeta,1987
Dak Bangla,1987
Dance Dance,1987
Mr. India,1987
Khooni Mahal,1987
Raahee,1987
Mit Jayenge Mitane Wale,1987
Suno Sasurjee,1987
Parivaar,1987
Hawalaat,1987
Insaaf,1987
Satyamev Jayate,1987
Muqaddar Ka Faisla,1987
Mera Karam Mera Dharam,1987
Permission,1987
Hiraasat,1987
Kachchi Kali,1987
Marte Dam Tak,1987
Sadak Chhap,1987
7 Saal Baad,1987
Khudgarz,1987
Diljalaa,1987
Ahsaan,1987
Watan Ke Rakhwale,1987
Sindoor,1987
Jaan Hatheli Pe,1987
Avam,1987
Kaash,1987
Hifazat,1987
Society,1987
Goraa,1987
Thikana,1987
Kudrat Ka Kanoon,1987
Kaun Jeeta Kaun Haara,1987
Uttar Dakshin,1987
Param Dharam,1987
Aaj,1987
Himmat Aur Mehanat,1987
Khel Tamasha,1987
Insaf Ki Pukar,1987
Superman,1987
Susman,1987
Kalyug Aur Ramayan,1987
Jawab Hum Denge,1987
Mohre,1987
Yeh Woh Manzil To Nahin,1987
Apne Apne,1987
Kaun Kitney Pani Mein,1987
Aulad,1987
Daku Hasina,1987
Naam O Nishan,1987
Inaam Dus Hazaar,1987
Khazana,1987
Zevar,1987
Mard Ki Zabaan,1987
Daraar,1987
Rajlakshmi,1987
Dozakh,1987
Deewana Tere Naam Ka,1987
Faqeer Badshah,1987
Hamari Jung,1987
Vishaal,1987
Sher Shivaji,1987
Pyar Ki Jeet,1987
Dil Tujhko Diya,1987
Mera Suhag,1987
Maha Yatra,1987
Mera Yaar Mera Dushman,1987
Nafrat,1987
Aage Mod Hai,1987
Banno,1987
Pyaar Ke Do Chaar Din,1987
Vali-E-Azam,1987
Ek Ghat Ki Kahani,1987
Jaago Hua Savera,1987
Honhaar Bachchey,1987
Ek Chor Ek Hasina,1987
Bandhani,1987
Setu,1987
Ek Aur Itihas,1987
108 Teerthyatra,1987
Padosi Ki Biwi,1988
Agent 777,1988
Aurat Teri Yehi Kahani,1988
Bhayaanak Mahal,1988
Aakrant,1988
Kehkashaa,1988
Mulzim,1988
Insaaf Ki Manzil,1988
Jai Karoli Maa,1988
Tera Naam Mera Naam,1988
Jawani Ka Dushman,1988
Kartoot,1988
Rain Basera,1988
Anjaam khuda jaane,1988
Vasundhara,1988
Pyar Paap Nahin,1988
Pehla Mard Pehli Aurat,1988
Prem Sandesh,1988
Nal Damayanti,1988
Bahaar,1988
Miss Himmatwali 88,1988
Barah Saal Baad,1988
Khooni Aankhen: The Bloody Eyes,1988
Marichika,1988
Shiv Ganga,1988
Saahil,1988
Mahalakshmi Mahima,1988
Bijili Aur Toofan,1988
Krodh Jawani Ka,1988
Uttejna,1988
Jadoo Mantar,1988
Tawaif Ki Beti,1988
Jawani Ka Rog,1988
Nagin Ke Do Dushman,1988
Jeewan Saathi,1988
Subah Hone Tak,1988
Dukh-Dard,1988
Vaasna Ke Aag,1988
Razia,1988
Zulmi Shikari,1988
Inspector Pratap,1988
Sapno Ki Rani,1988
Pooja,1988
Zanjeeren,1988
Yadon Ka Bazar,1988
Achanak,1988
Rampur Ki Sita,1988
Idd Mubarak,1988
Mard Ka Badla,1988
Anokha Chamatkar,1988
Banda Nawaz,1988
Farari,1988
Vasudha,1988
Maati Mere Desh Ki,1988
Tapash,1988
Achanak,1988
Naya Sitara,1988
Jaan E Jaana,1988
Na Bhoole Hain Na Bhoolenge,1988
Farishta Aur Bhagwan,1988
Ghar Mein Ram Gali Mein Shyam,1988
Sila,1988
Hum Farishte Nahin,1988
Parinati,1988
Mardon Wali Baat,1988
Sagar Sangam,1988
Shahenshah,1988
Om Dar-B-Dar,1988
Aaj Ka Robin Hood,1988
Khoon Bahaa Ganga Mein,1988
Paap Ki Duniya,1988
Pyar Ka Mandir,1988
Shiva Shakti,1988
Tamacha,1988
Falak (The Sky),1988
Ghar Aakir Ghar Hai,1988
Shukriyaa,1988
7 Bijliyaan,1988
Kasam,1988
Kab Tak Chup Rahungi,1988
Charanon Ki Saugandh,1988
Ek Hi Maqsad,1988
Aage Ki Soch,1988
Pyaasi Atma,1988
Be Lagaam,1988
Qayamat Se Qayamat Tak,1988
Afsar,1988
Waaris,1988
Veerana,1988
Woh Mili Thi,1988
Khatron Ke Khiladi,1988
Sherni,1988
Salaam Bombay!,1988
Kabzaa,1988
Pestonjee,1988
Mohabbat Ke Dushman,1988
Shoorveer,1988
Hatya,1988
Main Zinda Hoon,1988
Kabrastan,1988
Rukhsat,1988
Zulm Ko Jala Doonga,1988
Mera Muqaddar,1988
Ghar Ghar Ki Kahani,1988
Waqt Ki Awaz,1988
Soorma Bhopali,1988
Mahaveera,1988
Saazish,1988
Hum To Chale Pardes,1988
Kanwarlal,1988
Bhatakti Jawani,1988
Halaal Ki Kamai,1988
Vijay,1988
Khoon Bhari Maang,1988
Biwi Ho To Aisi,1988
Gunahon Ka Faisla,1988
Zanjeer,1998
Rihaee,1988
Zakhmi Aurat,1988
Som Mangal Shani,1988
Parbat Ke Us Paar,1988
Janam Janam,1988
Geeta Ki Saugandh,1988
Paap Ko Jalaa Kar Raakh Kar Doonga,1988
Aag Ke Sholay,1988
Dayavan,1988
Hero Hiralal,1988
Ganga Tere Desh Mein,1988
Rolling in Money,1988
Maar Dhaad,1988
Paigham,1988
Tezaab,1988
Agnee,1988
Rama O Rama,1988
Dharamyudh,1988
Yateem,1988
Namumkin,1988
Gangaa Jamunaa Saraswathi,1988
Qatil,1988
Paanch Fauladi,1988
Dariya Dil,1988
Aakhri Adaalat,1988
Sone Pe Suhaaga,1988
Jeete Hain Shaan Se,1988
Ram-Avtar,1988
Akarshan,1988
Andhaa Yudh,1988
Commando,1988
Inteqam,1988
Do Waqt Ki Roti,1988
Hamara Khandaan,1988
Aaj Ke Angaarey,1988
Gharwali Baharwali,1988
Libaas,1988
Main Tere Liye,1988
Zindagi Ek Safar,1988
Woh Phir Aayegi,1988
Trishagni,1988
Mera Shikaar,1988
Lathi,1988
Zalzala,1988
Mar Mitenge,1988
Tohfa Mohabbat Ka,1988
Mere Baad,1988
Jungle Ki Beti,1988
Mardangi,1988
Tamas,1988
Bhed Bhav,1988
Chintamani Surdas,1988
Kaal Chakra,1988
Kharidar,1988
Faisla,1988
Ek Naya Rishta,1988
Halla Gulla,1988
Mahakali,1988
Aakhri Nishchay,1988
Shesh,1988
Pyaar Mohabbat,1988
Dharam Shatru,1988
Jawani Ki Lahren,1988
Bedroom Story,1988
Insaf Ki Jung,1988
Aap Ka Pyar,1988
Bandhan Baahon Ka,1988
Insaniyat,1988
Raj Dulari,1988
Pehla Kadam,1988
Siyasat,1988
Zinda Jala Doonga,1988
Ek Aadmi,1988
Gunahon Ke Shatranj,1988
Udbhav,1988
J.P.,1988
Ghar Ek Mandir,1988
Roshni,1988
Jyoti Devi Maa,1988
Yeh Such Hai,1988
Abhishapt,1988
Yeh Pyar Nahin,1988
Qasoor Kiska,1988
Khel Jawani Ka,1989
Junglee Jawaani,1989
Guru,1989
Jawani Solah Saal Ki,1989
Wohi Bhayanak Raat,1989
Sau Saal Baad,1989
Bandook Dahej Ke Seenay Par,1989
Majboor,1989
I Love You Teacher,1989
Pyari Dulhaniya,1989
Saaya,1989
Lahu Ki Awaz,1989
Ustaad,1989
Shaadi Se Pehle Aur Shaadi Ke Baad,1989
Adam Ka Janam,1989
Aurat Aur Patthar,1989
Izhaar,1989
Paap Ki Sazaa,1989
Kissa Pehli Raat Ka,1989
Narad Vivaah,1989
Bhim Garjana,1989
Pyase Nain,1989
Devi Darshan,1989
Abhi To Main Jawaan Hoon,1989
Socha Na Tha,1989
Kameena Kahin Kaa,1989
Saat Ladkiyan,1989
MANADA NO MOR,1989
Chaalu Pe Chaalu,1989
Hal Aur Bandook,1989
Shagun,1989
Brij Sundari,1989
Dharmadhikari,1989
Maa Vaibhav Laxmi,1989
Yari Dosti,1989
Ajnabi Saaya,1989
Atmadaan,1989
Chaska,1989
Beauty Queen,1989
"Ankur, Mania Aur Kabutar (Operation Pink Pigeon)",1989
Milan Ki Pyas,1989
Pyar Ke Jalwe,1989
Charan Dada,1989
Muhabbat Ki Hai Humne,1989
Jawani Ki Qurbani,1989
Waqt Ke Zanjeer,1989
Pyaar Ka Pahela Sawan,1989
Wasta,1989
Matlabi,1989
Alakh,1989
VETRI MEL VETRI,1989
Farar Qaidi,1989
Agla Mausam,1989
Khel Jeewan Ki,1989
Pehli Raat,1989
Jungle Ke Jalwe,1989
Sava Ser Gehu,1989
Utthaan,1989
Nyaay Dansh,1989
Jab Hum Na Honge,1989
Maut Ki Lalkar,1989
Prem Paigham,1989
Abala,1989
Umang,1989
Sati Toral,1989
Jawani Ka Khoon,1989
Karm Kasauti,1989
Qafir Jawaani,1989
Vardi,1989
Meri Zabaan,1989
Joshilaay,1989
Dost Garibon Ka,1989
Mil Gayee Manzil Mujhe,1989
Sachche Ka Bol-Bala,1989
Jawani Ke Gunah,1989
Ram Lakhan,1989
Kasam Suhag Ki,1989
Apne Begaane,1989
Bees Saal Baad,1989
Main Tera Dushman,1989
Purani Haveli,1989
Suryaa: An Awakening,1989
Do Qaidi,1989
Khooni Murdaa,1989
Eeshwar,1989
Santosh,1989
Asmaan Se Ooncha,1989
Mirza Ki Shaadi,1989
Goonj,1989
Nafrat Ki Aandhi,1989
Farz Ki Jung,1989
Gair Kaanooni,1989
Kahan Hai Kanoon,1989
Clerk,1989
Guru Dakshina,1989
Bade Ghar Ki Beti,1989
Nishane Bazi,1989
Aakhri Baazi,1989
Ilaaka,1989
Raakh,1989
Touhean,1989
Billoo Baadshah,1989
Prem Pratigyaa,1989
Rakhwala,1989
Kaanoon Ki Awaaz,1989
Garibon Ka Daata,1989
Salim Langde Pe Mat Ro,1989
Jaisi Karni Waisi Bharni,1989
Abhimanyu,1989
Tere Bina Kya Jeena,1989
Paraya Ghar,1989
Anjaane Rishte,1989
Jung Baaz,1989
Daata,1989
Mera Naseeb,1989
Pick Pocket,1989
Anokha Aspatal,1989
Souten Ki Beti,1989
Mujrim,1989
Na-Insaafi,1989
Aakhri Ghulam,1989
Sindoor Ki Awaaz,1989
Tridev,1989
Batwara,1989
Khoj,1989
Hisaab Khoon Ka,1989
Gentleman,1989
Oonch Neech Beech,1989
Love Love Love,1989
Dost,1989
Toofan,1989
Nigahen: Nagina Part II,1989
The Announcement of War,1989
Jaadugar,1989
Gola Barood,1989
Lashkar,1989
Chandni,1989
Ek Din Achanak,1989
Aag Se Khelenge,1989
Sikka,1989
Tu Nagin Main Sapera,1989
Parchhaeen,1989
Kala Bazaar,1989
Desh Ke Dushman,1989
Shehzaade,1989
Kanoon Apna Apna,1989
Parinda,1989
Ladaai,1989
Khuli Khidki,1989
Apna Desh Praye Log,1989
Bhrashtachar,1989
Zakham,1989
Machalti Jawani,1989
Chaalbaaz,1989
Paap Ka Ant,1989
Main Azaad Hoon,1989
Bahurani,1989
Ghar Ka Chiraag,1989
When Love Calls,1989
Aag Ka Gola,1989
Jurrat,1989
Hathyar,1989
Nache Nagin Gali Gali,1989
Kamla Ki Maut,1989
Shanakht,1989
Aakhri Badla,1989
Taaqatwar,1989
Sach,1989
Hum Intezaar Karenge,1989
Mahal,1989
Gharana,1989
Khol De Meri Zuban,1989
Galiyon Ka Badshah,1989
Hum Bhi Insaan Hain,1989
Paanch Papi,1989
Naqab,1989
Mahaadev,1989
Kasam Vardi Kee,1989
Akhri Muqabla,1989
Sachai Ki Taqat,1989
Dana Paani,1989
Mitti Aur Sona,1989
Jaaydaad,1989
Apna Ghar,1989
Mohabat Ka Paigham,1989
Tujhe Nahin Chhodunga,1989
Mamata Ki Chhaon Mein,1989
Jism Ka Rishta,1989
Ghabrahat,1989
Ab Meri Baari,1989
Didi,1989
Dav Pech,1989
Albela,1989
Indira,1989
Khayal Gatha,1989
Naag Nagin,1989
Gawaahi,1989
Hatyare,1989
Police Ke Peechhe Police,1989
Aadat,1989
Awara Zindagi,1989
Ajeeb Itefaq,1989
Chahungi Tujbe Bar Bar,1989
Sange Meel Se Mulaqat,1989
Maut Ki Ladai,1989
Dil Lagake Dekho,1989
Doorie,1989
Ladki,1989
Charana,1989
Durga,1989
Boss,1989
Mera Challenge,1989
Katha Madhopur Ki,1989
Action,1989
Babul,1989
Kathni Karni Ek Si,1989
Kanoon Ka Harz,1989
Manu the Great,1989
Jungle Ki Hasina,1990
Sheela Meri Jaan,1990
Kaaranama,1990
Garam Jawani,1990
Pyasi Aurat,1990
Pyasa Darinda,1990
Meri Lalkaar,1990
Jungle Mein Oye Oye,1990
Pyasi Dulhan,1990
Yaadon Ka Mausam,1990
Jawani Ki Jalan,1990
College Girl,1990
Ladies Hostel,1990
Hawas Ke Pujaari,1990
101 Ratein,1990
Insaaf Ka Suraj,1990
Intezar Ki Raatein,1990
Rambha Ram Babu,1990
Amavas Ki Raat,1990
Kamsin Haseena,1990
Meri Pyaas Bhujao,1990
Maa Kasam Badla Loonga,1990
Halaat,1990
Karishma Kismat Ka,1990
Rangeen Jawani,1990
Har Raat Naya Khiladi,1990
Hasino Ka Mela,1990
Machalta Shabaab,1990
Junglee Pyaar,1990
Maut Se Mukabala,1990
Pyaasa Dil,1990
Akaash Ganga,1990
Vidrohi,1990
Asli Haqdaar,1990
Bombay War,1990
Aag Aur Shabab,1990
Shatrutaa,1990
Wafaa,1990
Sur Asur,1990
Vanchit,1990
Paapi Log,1990
Prakope,1990
Lootera Sultan,1990
Main Pyasi Hoon,1990
Haseen Vaadiyon Mein,1990
Maha Shakti Maa,1990
Is Paar Ya Us Paar,1990
Chotu Ka Badla,1990
Naya Zamana Nai Kranti,1990
Nai Raat Nai Baat,1990
Zakhmi Kali,1990
Shiv Putra Swami Ayappa,1990
Badnam Gali,1990
Ab Badla Main Loongi,1990
Machalti Kaliyaan,1990
Insaaf Nagin Ka,1990
Pyasi Meri Nigahen,1990
Aag Aur Angaray,1990
Dard Ki Awaaz,1990
Kasam Jhoot Ki,1990
Tushaar: The Snow,1990
Pingla Bharthri,1990
Pyasi Baahon Mein,1990
Kissa Kachchi,1990
Love and War,1990
Baiju,1990
Lahoo Ka Jawab Lahoo Se,1990
Madhur Milan,1990
Jyotishi,1990
Laagi Chhoote Na,1990
Maa Tere Aangan Nagara Baje,1990
Besharam Ratein,1990
Shabnam Sharab Ban Gayee,1990
Naaglaxmi,1990
Aur Pyar Ho Gaya,1990
Shree Satyanarayana Pooja,1990
Adhura Badan,1990
Har Din Pyar Ke Din,1990
Galiyon Ki Rani,1990
Mahatma Basweshwar,1990
Pyar Ke Naam Qurban,1990
Triyatri,1990
Maha-Sangram,1990
Taqdeer Ka Tamasha,1990
Ek Number Ka Chor,1990
Jaan Lada Denge,1990
Baap Numbri Beta Dus Numbri,1990
Zahreelay,1990
Awaargi,1990
Siddeshwari,1990
Agneepath,1990
Aulaad Ki Khatir,1990
Pyar Ka Karz,1990
Shandar,1990
Jeene Do,1990
Amiri Garibi,1990
Izzatdaar,1990
Kroadh,1990
Un Mitron Ki Yaad Pyaari,1990
Eyes of Stone,1990
Lekin...,1990
Solah Satra,1990
Azaad Desh Ke Gulam,1990
Naya Khoon,1990
Badnaam,1990
Shaitani Ilaaka,1990
Haatim Tai,1990
Shadyantra,1990
Swarg,1990
Naaka Bandi,1990
Police Public,1990
Pati Patni Aur Tawaif,1990
Choron Ki Rani Hasino Ka Raja,1990
Tum Mere Ho,1990
C.I.D.,1990
Bandh Darwaza,1990
Hum Se Na Takrana,1990
Pati Parmeshwar,1990
Aandhiyan,1990
Ghayal,1990
Dil,1990
Madurai Veeran Engasami,1990
Jurm,1990
Gunahon Ka Devta,1990
Chor Pe Mor,1990
Jai Shiv Shankar,1990
Deewana Mujh Sa Nahin,1990
Aashiqui,1990
Ajooba,1990
Kafan,1990
Jeevan Ek Sanghursh,1990
Karishma Kali Kaa,1990
Aaj Ke Shahenshah,1990
Mera Pati Sirf Mera Hai,1990
Aaj Ka Arjun,1990
Amba,1990
Danga Fasaad,1990
Drishti,1990
Sailaab,1990
